metric,baseline,improved_best,delta
accuracy,0.8333333333333334,0.8,-0.033333333333333326
precision,0.0,0.2,0.2
recall,0.0,0.1111111111111111,0.1111111111111111
f1,0.0,0.14285714285714285,0.14285714285714285
average_precision,0.2593563749495953,0.34855720588479205,0.08920083093519676
roc_auc,0.6601307189542484,0.6492374727668846,-0.010893246187363759
r_precision,0.2222222222222222,0.3333333333333333,0.1111111111111111
wss@95,-0.033333333333333326,-0.01666666666666672,0.016666666666666607
precision@10,0.3,0.3,0.0
recall@10,0.3333333333333333,0.3333333333333333,0.0
precision@20,0.2,0.25,0.04999999999999999
recall@20,0.4444444444444444,0.5555555555555556,0.11111111111111116
precision@50,0.16,0.16,0.0
recall@50,0.8888888888888888,0.8888888888888888,0.0
