strategy,seed,n_docs,n_pos,initial_seed_count,docs_to_recall_0.90,docs_to_recall_0.95,screen_frac_to_recall_0.90,screen_frac_to_recall_0.95,wss@90,wss@95,first_relevant_screened_rank
asreview_prior_1p1n,11,300,43,2,218,222,0.7266666666666667,0.74,0.17333333333333334,0.20999999999999996,2
asreview_prior_1p1n,19,300,43,2,184,212,0.6133333333333333,0.7066666666666667,0.28666666666666674,0.2433333333333333,2
asreview_prior_1p1n,42,300,43,2,218,227,0.7266666666666667,0.7566666666666667,0.17333333333333334,0.19333333333333325,2
asreview_prior_1p1n,77,300,43,2,191,222,0.6366666666666667,0.74,0.2633333333333333,0.20999999999999996,2
asreview_prior_1p1n,2026,300,43,2,173,221,0.5766666666666667,0.7366666666666667,0.32333333333333336,0.21333333333333326,2
asreview_prior_2p10n,11,300,43,12,188,220,0.6266666666666667,0.7333333333333333,0.2733333333333333,0.21666666666666667,11
asreview_prior_2p10n,19,300,43,12,223,230,0.7433333333333333,0.7666666666666667,0.15666666666666673,0.18333333333333324,11
asreview_prior_2p10n,42,300,43,12,218,230,0.7266666666666667,0.7666666666666667,0.17333333333333334,0.18333333333333324,11
asreview_prior_2p10n,77,300,43,12,198,224,0.66,0.7466666666666667,0.24,0.20333333333333325,11
asreview_prior_2p10n,2026,300,43,12,195,222,0.65,0.74,0.25,0.20999999999999996,11
random_12_no_prior,11,300,43,12,202,224,0.6733333333333333,0.7466666666666667,0.22666666666666668,0.20333333333333325,12
random_12_no_prior,19,300,43,12,194,211,0.6466666666666666,0.7033333333333334,0.2533333333333334,0.2466666666666666,11
random_12_no_prior,42,300,43,12,192,223,0.64,0.7433333333333333,0.26,0.20666666666666667,11
random_12_no_prior,77,300,43,12,193,226,0.6433333333333333,0.7533333333333333,0.2566666666666667,0.19666666666666666,12
random_12_no_prior,2026,300,43,12,190,224,0.6333333333333333,0.7466666666666667,0.2666666666666667,0.20333333333333325,17
