seed,outer_fold,n_train,n_test,ap,roc_auc,threshold_recall_0.90,threshold_recall_0.95,precision@thr90,recall@thr90,f1@thr90,positive_rate@thr90,precision@thr95,recall@thr95,f1@thr95,positive_rate@thr95
11,1,240,60,0.5063746283504348,0.7572115384615384,0.09646932859812823,0.09490993539378234,0.18518518518518517,0.625,0.2857142857142857,0.45,0.18518518518518517,0.625,0.2857142857142857,0.45
11,2,240,60,0.6892857142857143,0.9495192307692307,0.11430946236357993,0.08760465567345184,0.26666666666666666,1.0,0.42105263157894735,0.5,0.18604651162790697,1.0,0.3137254901960784,0.7166666666666667
11,3,240,60,0.5835980058032904,0.7647058823529411,0.10745897638671907,0.04833390396764042,0.2,0.7777777777777778,0.3181818181818182,0.5833333333333334,0.16071428571428573,1.0,0.27692307692307694,0.9333333333333333
11,4,240,60,0.3427462292959369,0.6230936819172113,0.09776889983723647,0.07752281995036889,0.1891891891891892,0.7777777777777778,0.30434782608695654,0.6166666666666667,0.1951219512195122,0.8888888888888888,0.32,0.6833333333333333
11,5,240,60,0.6209497675014917,0.747276688453159,0.09129832219639276,0.04336144464911934,0.20588235294117646,0.7777777777777778,0.32558139534883723,0.5666666666666667,0.1568627450980392,0.8888888888888888,0.26666666666666666,0.85
19,1,240,60,0.6509869659326181,0.8774038461538461,0.09717686511467276,0.06064423487888985,0.22580645161290322,0.875,0.358974358974359,0.5166666666666667,0.1590909090909091,0.875,0.2692307692307692,0.7333333333333333
19,2,240,60,0.43951048951048954,0.891826923076923,0.0730332217319633,0.04393323475194827,0.18604651162790697,1.0,0.3137254901960784,0.7166666666666667,0.14545454545454545,1.0,0.25396825396825395,0.9166666666666666
19,3,240,60,0.5030343682811567,0.8082788671023966,0.059833546276015115,0.053900010053012586,0.1836734693877551,1.0,0.3103448275862069,0.8166666666666667,0.1836734693877551,1.0,0.3103448275862069,0.8166666666666667
19,4,240,60,0.5825659291176533,0.7908496732026145,0.09145669130324152,0.05771248422275976,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.6166666666666667,0.20454545454545456,1.0,0.33962264150943394,0.7333333333333333
19,5,240,60,0.4878036992927952,0.6427015250544662,0.11254721179034488,0.100174026694552,0.1935483870967742,0.6666666666666666,0.3,0.5166666666666667,0.1875,0.6666666666666666,0.2926829268292683,0.5333333333333333
42,1,240,60,0.6335813492063492,0.9182692307692307,0.08853299540103814,0.07850794862482406,0.2222222222222222,1.0,0.36363636363636365,0.6,0.20512820512820512,1.0,0.3404255319148936,0.65
42,2,240,60,0.5730113636363636,0.877403846153846,0.10585537195531426,0.07859801079936364,0.21875,0.875,0.35,0.5333333333333333,0.21621621621621623,1.0,0.35555555555555557,0.6166666666666667
42,3,240,60,0.44306717077115554,0.7603485838779955,0.1697283779512878,0.07310584439041834,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.2833333333333333,0.2,0.6666666666666666,0.3076923076923077,0.5
42,4,240,60,0.5637302547556631,0.775599128540305,0.14101582608666532,0.11120261311568153,0.25,0.6666666666666666,0.36363636363636365,0.4,0.20588235294117646,0.7777777777777778,0.32558139534883723,0.5666666666666667
42,5,240,60,0.6632452505259523,0.8758169934640523,0.112669581808724,0.10717539460368537,0.24324324324324326,1.0,0.391304347826087,0.6166666666666667,0.23076923076923078,1.0,0.375,0.65
77,1,240,60,0.6189649470899471,0.8076923076923077,0.13749766350851536,0.09199227063272364,0.28,0.875,0.42424242424242425,0.4166666666666667,0.19444444444444445,0.875,0.3181818181818182,0.6
77,2,240,60,0.5262117346938775,0.8557692307692307,0.13088984291147365,0.09397119891431434,0.2413793103448276,0.875,0.3783783783783784,0.48333333333333334,0.17073170731707318,0.875,0.2857142857142857,0.6833333333333333
77,3,240,60,0.5988259688259688,0.8562091503267975,0.13834275664497747,0.07901997200633712,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.3,0.23076923076923078,1.0,0.375,0.65
77,4,240,60,0.4569738501056016,0.7363834422657952,0.16893330259039163,0.09797541773378288,0.23809523809523808,0.5555555555555556,0.3333333333333333,0.35,0.21212121212121213,0.7777777777777778,0.3333333333333333,0.55
77,5,240,60,0.7817700817700819,0.9389978213507626,0.08077942789498165,0.06759622861186453,0.21428571428571427,1.0,0.35294117647058826,0.7,0.1875,1.0,0.3157894736842105,0.8
2026,1,240,60,0.5253772543246227,0.8004807692307692,0.11088994311728635,0.06963764300385758,0.23529411764705882,1.0,0.38095238095238093,0.5666666666666667,0.2,1.0,0.3333333333333333,0.6666666666666666
2026,2,240,60,0.4177254110376208,0.7884615384615384,0.09331662509339461,0.06646912726233985,0.21875,0.875,0.35,0.5333333333333333,0.21621621621621623,1.0,0.35555555555555557,0.6166666666666667
2026,3,240,60,0.6267462810941071,0.8649237472766884,0.08910526375997135,0.05954681951050519,0.21428571428571427,1.0,0.35294117647058826,0.7,0.18,1.0,0.3050847457627119,0.8333333333333334
2026,4,240,60,0.6762980684033315,0.8431372549019607,0.08874396607200104,0.06028206573763214,0.1951219512195122,0.8888888888888888,0.32,0.6833333333333333,0.1568627450980392,0.8888888888888888,0.26666666666666666,0.85
2026,5,240,60,0.5744242141300965,0.7973856209150327,0.06712139868819199,0.05037571172910237,0.20512820512820512,0.8888888888888888,0.3333333333333333,0.65,0.1875,1.0,0.3157894736842105,0.8
