metric,mean,std
ap,0.5634723599096928,0.09958344941024709
roc_auc,0.8139898609016255,0.08107123385036939
threshold_recall_0.90,0.10659099476330035,0.028253628772832697
threshold_recall_0.95,0.07414212067647832,0.019989452672761542
precision@thr90,0.23082400847019943,0.049328237853176665
recall@thr90,0.8533333333333333,0.1363824770311504
precision@thr95,0.1903334647337855,0.022991311994979672
recall@thr95,0.9122222222222222,0.12126095046219904
positive_rate@thr90,0.5486666666666666,0.1327173270107897
positive_rate@thr95,0.6960000000000001,0.12966123953224046
