strategy,policy,docs_screened_mean,docs_screened_std,recall_mean,screened_fraction_mean,wss95_if_reached_mean
asreview_prior_1p1n,oracle_target_recall_90,196.8,20.388722372919794,0.9069767441860466,0.656,
asreview_prior_1p1n,oracle_target_recall_95,220.8,5.449770637375482,0.9534883720930234,0.736,0.21399999999999997
asreview_prior_1p1n,safe_like_upper_remaining<=1,287.2,4.494441010848849,0.9953488372093023,0.9573333333333334,-0.00733333333333337
asreview_prior_1p1n,no_hit_window_50,296.0,8.944271909999163,0.9953488372093023,0.9866666666666667,-0.036666666666666715
asreview_prior_1p1n,safe_like_and_no_hit_50,296.0,8.944271909999163,0.9953488372093023,0.9866666666666667,-0.036666666666666715
asreview_prior_2p10n,oracle_target_recall_90,204.4,15.241391012633985,0.9069767441860466,0.6813333333333333,
asreview_prior_2p10n,oracle_target_recall_95,225.2,4.604345773288535,0.9534883720930234,0.7506666666666667,0.19933333333333328
asreview_prior_2p10n,safe_like_upper_remaining<=1,289.0,1.5811388300841829,1.0,0.9633333333333333,-0.013333333333333374
asreview_prior_2p10n,no_hit_window_50,298.0,4.472135954999575,1.0,0.9933333333333334,-0.043333333333333376
asreview_prior_2p10n,safe_like_and_no_hit_50,298.0,4.472135954999575,1.0,0.9933333333333334,-0.043333333333333376
random_12_no_prior,oracle_target_recall_90,194.2,4.604345773288534,0.9069767441860466,0.6473333333333333,
random_12_no_prior,oracle_target_recall_95,221.6,6.024948132556825,0.9534883720930234,0.7386666666666667,0.2113333333333333
random_12_no_prior,safe_like_upper_remaining<=1,290.6,0.54772255750517,1.0,0.9686666666666668,-0.0186666666666667
random_12_no_prior,no_hit_window_50,300.0,0.0,1.0,1.0,-0.050000000000000044
random_12_no_prior,safe_like_and_no_hit_50,300.0,0.0,1.0,1.0,-0.050000000000000044
